DOEID,HHSEX,HHAGE,EMPLOYHH,EDUCATION,SDESCENT,HOUSEHOLDER_RACE,NHSLDMEM,NUMCHILD,MONEYPY,TOTALBTU,TOTALDOL
102785,1,48,1,5,0,1,5,2,16,119286.71,2600.12
102786,2,47,1,5,0,4,4,2,14,133635.08,3706.81
102787,2,52,1,3,0,1,3,0,16,96409.19,2451.91
102788,1,72,3,4,0,1,2,0,14,64405.17,1031.16
102789,2,74,3,2,0,1,2,0,15,74203.0,1675.18
102790,2,47,1,5,1,1,3,1,16,146615.58,3693.65
102791,2,60,2,2,0,1,2,1,8,104530.27,1615.23
102792,1,48,1,3,0,1,2,0,15,77847.85,2393.19
102793,1,58,2,2,0,1,2,0,10,79713.95,2472.45
102794,2,59,1,2,0,3,2,0,13,36825.14,1085.36
102795,1,65,4,1,1,1,3,1,4,36503.81,643.86
102796,2,37,1,3,0,2,5,3,15,106972.67,1740.4
102797,1,68,3,2,1,1,2,0,14,49753.68,1213.43
102798,1,55,4,5,0,1,1,0,16,39188.11,1308.11
102799,2,67,3,5,0,4,5,1,15,118081.45,3610.37
102800,2,83,3,4,0,1,2,0,7,137531.47,1802.02
102801,2,55,1,3,0,1,2,0,13,54249.69,1556.9
102802,2,31,1,2,1,1,1,0,8,28474.19,820.71
102803,1,64,1,3,0,1,2,0,15,13410.77,583.17
102804,2,58,1,3,0,1,2,0,11,67619.26,1720.82
102805,1,70,3,4,0,1,1,0,10,131147.87,1219.96
102806,2,79,3,3,0,1,2,0,10,156660.01,2713.69
102807,1,37,1,2,0,1,2,0,12,140330.81,3040.46
102808,1,59,1,3,0,1,2,0,12,85269.35,2296.24
102809,1,84,4,1,0,1,2,0,1,63002.01,2676.44
102810,2,42,1,4,0,1,4,2,14,28846.27,1881.98
102811,2,21,1,1,0,1,1,0,7,19536.29,522.29
102812,2,41,4,3,1,1,1,0,13,129196.49,1588.77
102813,1,59,4,2,1,1,3,0,15,67470.82,2566.81
102814,1,41,1,1,0,1,7,0,9,116560.34,2105.61
102815,1,35,4,3,0,2,3,2,2,30765.01,1137.02
102816,1,51,1,3,0,1,2,0,14,54683.47,2018.99
102817,2,31,1,2,0,1,5,3,12,108382.75,1681.68
102818,2,77,3,5,0,1,1,0,16,24417.86,919.23
102819,1,49,4,5,0,1,4,2,15,104468.51,3225.3
102820,1,71,4,3,0,1,2,0,8,76446.43,1898.62
102821,1,87,4,4,0,1,1,0,16,90214.38,2393.27
102822,2,56,1,3,0,1,3,0,12,112998.27,3309.18
102823,2,34,4,5,0,1,3,0,11,94984.9,1399.74
102824,2,38,1,3,1,1,2,1,14,29525.03,1321.21
102825,1,39,1,5,0,1,5,3,15,130176.8,3001.7
102826,1,54,3,3,0,1,2,0,6,77831.7,2814.43
102827,2,29,1,3,0,2,4,2,1,38749.85,663.45
102828,1,78,3,3,0,1,2,0,8,42259.07,955.17
102829,2,72,3,5,0,1,1,0,9,97654.25,1925.6
102830,1,31,1,3,1,1,7,4,13,84802.75,3198.73
102831,1,66,3,5,0,1,1,0,4,39316.17,669.62
102832,1,30,1,4,0,1,2,0,16,103032.31,1270.93
102833,2,27,1,4,0,1,5,4,15,363337.83,5510.58
102834,1,53,4,4,1,1,5,1,11,121276.96,4100.91
102835,2,55,1,2,0,1,4,0,14,121662.41,4451.61
102836,2,89,3,3,0,1,2,0,16,205833.44,4292.46
102837,2,54,1,3,0,1,1,0,13,70920.69,1405.19
102838,2,50,1,4,0,1,2,0,16,97105.62,2480.76
102839,1,61,1,5,0,1,1,0,15,120718.37,2522.54
102840,1,62,1,1,0,1,2,0,16,49671.38,1825.11
102841,1,61,1,3,0,2,2,0,8,122771.92,2254.92
102842,1,60,2,5,0,1,2,0,14,61399.88,2362.8
102843,2,64,3,4,0,1,3,0,12,95229.64,2351.5
102844,1,33,1,2,0,1,4,2,7,52653.44,1512.01
102845,1,75,3,4,0,2,2,1,4,107618.8,2105.66
102846,2,75,3,4,0,1,1,0,14,78747.58,1793.25
102847,1,37,4,3,0,1,7,4,12,67108.35,1913.12
102848,1,66,3,2,0,1,2,0,16,123214.99,1827.1
102849,1,77,3,2,0,1,7,0,8,68489.74,1473.09
102850,2,55,1,2,0,1,3,1,14,89807.61,2074.25
102851,1,32,1,3,0,1,1,0,10,27816.87,1171.94
102852,2,34,1,5,0,4,1,0,15,42207.92,1210.28
102853,1,34,4,1,1,1,4,1,6,76635.24,2471.67
102854,2,35,1,2,0,1,1,0,5,11329.23,485.02
102855,1,42,1,4,1,1,2,1,6,40389.02,1803.37
102856,1,40,1,4,0,1,1,0,13,22985.23,733.62
102857,2,54,1,3,0,1,2,0,14,151734.95,2309.93
102858,1,45,2,2,0,1,4,2,12,68112.88,1532.15
102859,2,66,3,3,0,1,3,0,14,146299.69,1983.56
102860,2,39,1,1,1,1,4,2,7,43448.18,1238.43
102861,1,58,4,2,0,2,4,3,10,112378.06,4204.98
102862,2,85,3,4,0,1,1,0,6,8234.99,404.47
102863,1,78,3,5,0,1,1,0,9,34985.37,1010.76
102864,2,70,3,4,0,1,1,0,11,89959.68,2252.71
102865,2,61,3,3,0,1,1,0,7,85014.1,1613.48
102866,1,42,1,3,0,1,4,0,15,109979.87,5384.5
102867,1,47,1,3,0,1,3,1,12,37038.05,1318.01
102868,2,36,1,5,0,1,4,2,15,56451.53,1343.31
102869,2,60,1,5,0,1,2,0,16,72468.36,2289.46
102870,2,34,1,3,0,1,2,0,14,42685.14,1749.91
102871,2,70,3,2,0,1,2,0,10,111590.92,2317.41
102872,1,69,3,3,0,1,2,0,9,15233.92,674.68
102873,2,65,3,3,0,1,2,0,11,118263.3,3423.62
102874,1,59,1,3,0,2,2,1,11,77987.1,1664.93
102875,1,67,3,3,0,1,2,0,13,65710.18,2221.48
102876,2,58,4,3,0,2,1,0,6,78205.91,1618.07
102877,1,34,4,3,0,1,2,0,11,27454.82,813.4
102878,1,19,4,3,0,1,4,1,16,73772.99,1880.15
102879,1,40,1,3,0,1,2,1,7,51955.07,821.02
102880,1,77,2,5,0,1,2,0,14,99948.08,1517.07
102881,2,40,1,3,0,1,1,0,13,27688.65,592.43
102882,1,80,3,5,0,1,1,0,15,110668.56,1230.26
102883,2,48,4,3,0,4,5,3,10,41683.04,1843.57
102884,2,72,3,4,0,1,2,0,15,14801.09,641.48
102885,1,63,1,4,0,1,2,0,15,51080.84,1431.07
102886,1,65,4,1,0,1,1,0,6,65003.55,1469.03
102887,2,66,3,3,0,1,2,0,8,72576.95,1397.91
102888,1,39,4,4,0,1,4,2,15,91022.48,3482.22
102889,2,27,4,3,0,1,1,0,7,25242.18,857.44
102890,2,60,2,2,0,1,1,0,5,30817.09,642.48
102891,1,34,1,5,0,2,3,2,13,64376.29,2425.99
102892,2,51,1,2,1,1,5,2,12,54143.0,1482.73
102893,1,34,1,3,1,1,3,1,15,31693.91,853.35
102894,2,53,1,4,0,1,3,1,16,231230.27,4509.43
102895,1,21,1,3,1,1,7,3,8,80236.96,2178.73
102896,1,56,1,2,0,1,2,0,12,58537.76,2213.58
102897,1,23,2,3,0,1,5,2,2,85157.83,2783.43
102898,2,49,1,4,0,1,3,2,16,49479.12,1608.9
102899,1,56,3,5,0,1,2,0,16,159860.67,4543.4
102900,1,70,2,2,0,1,3,0,5,39286.46,1166.39
102901,1,35,1,2,0,1,4,2,7,74482.88,2273.51
102902,1,45,4,4,0,1,5,3,15,177578.57,2362.63
102903,1,39,1,4,0,1,4,2,16,124554.85,2689.59
102904,2,73,3,5,0,1,3,0,14,98852.36,3007.45
102905,1,64,1,2,0,2,6,0,11,141800.96,4207.57
102906,2,64,3,2,0,1,3,0,15,84591.65,3123.97
102907,2,79,3,3,0,1,2,0,15,69327.56,2538.26
102908,1,38,4,1,0,1,2,0,1,18302.08,799.49
102909,2,73,3,2,0,1,2,0,13,96541.4,1506.96
102910,1,67,3,3,0,1,1,0,12,40374.16,1420.84
102911,1,24,1,2,0,2,2,1,1,49213.92,1773.27
102912,1,64,1,2,0,1,1,0,12,52119.63,1212.65
102913,1,43,1,5,0,1,2,0,15,76497.63,2416.65
102914,1,27,4,5,0,2,2,0,13,48193.01,1324.27
102915,1,40,1,5,0,1,4,2,15,76026.21,1764.46
102916,1,51,4,3,0,1,3,1,14,44899.72,1442.49
102917,1,54,4,3,0,1,3,1,6,62154.03,1813.93
102918,1,55,1,3,0,1,3,1,14,89518.95,2097.98
102919,1,62,1,5,0,1,2,0,16,159830.59,2432.92
102920,1,45,1,4,0,1,2,0,15,82180.93,1121.68
102921,1,54,1,5,0,1,2,0,16,40391.13,884.4
102922,1,46,1,3,0,1,3,0,14,92249.81,1906.92
102923,1,52,4,1,0,1,2,0,2,100493.35,1445.86
102924,1,31,1,4,0,4,3,0,14,27260.13,1283.14
102925,2,68,4,4,0,1,1,0,4,48352.84,955.97
102926,2,36,1,5,0,6,3,1,15,96873.63,2572.34
102927,2,57,1,4,0,1,2,0,15,56171.0,1515.2
102928,1,72,3,3,0,1,1,0,10,161066.44,2589.67
102929,1,59,1,5,0,1,2,0,16,171592.34,2550.49
102930,2,62,2,3,0,1,2,0,12,25219.5,936.6
102931,1,72,3,5,0,1,2,0,16,126892.11,2325.42
102932,2,45,4,3,1,1,2,0,12,41686.27,654.82
102933,2,73,3,2,0,1,3,0,3,32587.22,870.44
102934,1,43,2,2,0,1,4,1,9,17518.5,835.28
102935,1,49,3,4,0,1,3,1,11,63792.68,1659.67
102936,1,40,2,3,0,1,4,2,16,126772.48,3322.89
102937,1,81,3,2,0,1,1,0,6,51876.17,782.59
102938,2,70,3,2,0,1,1,0,5,21737.32,883.52
102939,2,49,1,4,0,1,3,1,16,102477.55,3318.42
102940,1,62,3,4,0,1,2,0,15,62992.05,1773.02
102941,1,34,1,3,1,4,5,3,13,57338.59,2145.89
102942,2,63,3,3,0,3,2,0,3,51724.35,1515.26
102943,2,66,3,5,0,1,3,0,15,114169.27,3128.63
102944,2,69,1,2,0,1,3,0,14,36712.96,1527.36
102945,2,79,3,3,0,1,2,0,13,105695.0,2016.11
102946,2,51,3,4,0,1,4,2,16,136424.61,3296.63
102947,1,30,1,4,0,1,2,0,16,48160.67,1211.67
102948,2,67,3,3,0,1,2,0,11,120149.24,1685.53
102949,1,69,3,4,0,1,2,0,11,12965.93,605.07
102950,1,42,4,2,1,1,5,3,8,37490.58,1161.22
102951,2,42,1,3,1,3,2,0,11,48061.21,870.04
102952,1,21,4,4,0,1,5,0,6,81307.8,2075.15
102953,1,79,3,5,0,1,1,0,9,42791.97,1200.59
102954,2,65,1,4,0,1,2,0,15,56943.02,1180.45
102955,1,55,4,3,1,4,3,1,14,41156.42,1340.64
102956,2,57,1,4,0,1,4,1,15,109910.17,1838.53
102957,1,60,1,5,0,1,3,0,16,100443.72,2312.93
102958,1,31,1,5,1,1,4,3,7,134146.2,2943.65
102959,2,75,3,5,1,6,1,0,8,27853.53,805.63
102960,2,55,1,2,0,3,5,0,11,275647.6,6675.73
102961,1,35,4,2,0,1,6,4,1,137836.67,4031.36
102962,1,43,1,4,0,6,3,1,11,39845.81,1414.81
102963,2,34,1,2,0,1,2,0,6,59452.42,962.37
102964,2,43,1,4,0,1,4,2,15,120931.82,3152.39
102965,2,32,1,5,0,1,2,0,15,22627.18,1872.61
102966,1,70,3,5,0,1,2,0,12,115598.83,2232.52
102967,1,31,1,5,0,1,1,0,12,102130.54,1512.81
102968,1,75,3,2,0,1,4,2,7,56274.44,1585.1
102969,1,67,3,3,0,1,2,0,14,31344.71,1271.07
102970,1,39,2,2,0,1,4,1,16,155700.12,5027.27
102971,1,48,1,1,1,1,4,1,4,74138.28,2145.12
102972,1,78,3,3,0,1,2,0,12,57951.26,1854.19
102973,1,56,1,1,0,1,3,2,1,86936.96,2676.87
102974,2,58,4,5,0,4,4,0,8,151382.48,2144.81
102975,1,59,4,3,1,1,1,0,13,112958.18,2331.41
102976,1,66,3,3,0,1,2,0,6,99422.33,2587.21
102977,2,34,1,5,0,1,4,2,15,45767.52,1744.94
102978,2,39,1,5,0,1,6,4,16,120719.94,2716.65
102979,1,62,1,4,0,2,2,0,11,200389.81,2597.43
102980,2,44,1,5,0,1,2,0,13,54492.33,1286.78
102981,1,44,1,3,0,1,3,1,15,74181.9,2584.19
102982,1,27,4,4,1,5,4,2,10,41652.01,1565.65
102983,2,76,3,4,0,1,2,0,12,111764.23,1797.85
102984,1,62,1,4,0,1,2,0,15,24652.65,1288.54
102985,2,53,1,5,0,1,2,0,16,193159.71,2543.35
102986,1,78,3,3,0,4,2,0,6,16785.79,1448.48
102987,1,55,4,4,1,1,3,1,16,131503.53,2835.76
102988,1,60,1,2,0,1,4,1,12,47344.15,1587.27
102989,2,50,1,4,0,2,4,1,13,161977.35,3997.95
102990,1,42,1,4,0,1,2,0,16,94498.23,1968.89
102991,1,73,3,5,0,1,1,0,12,133729.27,2737.62
102992,2,67,3,4,0,1,3,0,14,55184.86,2320.19
102993,1,42,1,2,0,1,4,2,14,89650.11,2406.63
102994,1,62,3,1,0,2,1,0,3,19689.37,732.23
102995,1,65,3,2,0,1,2,0,14,60768.84,1866.4
102996,1,56,1,3,0,1,4,0,15,62878.28,2786.94
102997,1,67,3,2,0,1,1,0,4,37913.49,1048.15
102998,1,33,4,1,0,1,5,3,12,194514.29,4788.9
102999,1,70,3,3,0,2,2,0,6,18954.16,745.63
103000,1,81,3,4,0,1,1,0,15,123771.22,1423.88
103001,2,58,1,5,1,1,1,0,15,59586.05,1338.21
103002,1,82,3,2,0,1,2,0,6,82634.94,2045.8
103003,1,47,4,4,0,1,4,2,16,194570.52,3314.03
103004,2,58,1,4,0,1,3,1,15,133075.64,2486.92
103005,1,45,4,4,0,1,3,1,14,76191.81,2564.18
103006,2,71,3,3,0,1,2,1,9,46337.82,1234.78
103007,2,41,1,5,0,1,7,4,16,167850.14,4163.2
103008,2,39,1,4,0,1,3,1,13,95653.28,1138.5
103009,2,51,1,4,0,1,2,0,16,115721.27,1658.81
103010,1,59,4,2,0,1,2,0,14,81585.06,2348.8
103011,1,39,4,3,0,1,7,4,13,54710.29,2183.11
103012,1,49,1,4,1,1,3,0,15,36110.81,1183.69
103013,1,51,1,4,0,6,1,0,11,70453.88,1751.32
103014,2,81,3,2,0,1,2,0,10,134432.1,3403.5
103015,1,24,1,4,0,1,2,0,7,33579.21,775.15
103016,1,87,3,1,0,1,1,0,6,25182.36,1432.71
103017,2,31,1,3,0,1,3,1,15,141853.76,2410.94
103018,2,56,1,3,0,6,2,0,16,39213.36,1308.18
103019,2,75,3,5,0,1,1,0,12,91893.84,1588.91
103020,1,39,1,3,0,1,4,2,14,101164.45,1974.4
103021,1,42,1,3,0,1,3,0,11,35816.32,1086.72
103022,1,28,4,5,0,1,1,0,14,60589.75,1602.03
103023,1,33,1,5,0,1,2,0,16,134677.93,1912.45
103024,2,30,1,4,0,4,1,0,13,94631.71,1744.86
103025,1,63,3,4,0,1,2,0,12,71391.37,2131.36
103026,2,38,1,3,0,1,5,3,14,111008.03,1614.76
103027,2,32,1,4,0,1,7,4,13,158746.07,3543.09
103028,1,22,2,3,0,2,3,0,5,63786.42,1556.74
103029,1,71,3,5,0,4,7,4,16,71096.3,2398.98
103030,2,40,1,3,0,1,1,0,16,69576.77,2002.95
103031,2,26,1,4,0,1,2,0,15,7594.53,410.12
103032,1,59,4,3,0,1,2,0,12,37949.16,1406.75
103033,2,83,3,4,0,1,2,0,15,129484.51,2583.09
103034,2,61,2,3,0,1,2,0,14,82321.91,2137.76
103035,1,30,1,3,1,1,5,0,14,134086.08,4203.73
103036,2,61,1,3,0,1,2,0,14,88792.87,2631.31
103037,2,79,2,4,0,1,2,0,13,127688.64,2802.21
103038,2,40,4,4,0,4,5,2,11,47248.03,1557.25
103039,2,66,3,4,0,1,2,0,13,98519.18,1338.94
103040,2,27,1,4,0,1,2,0,15,81402.39,2721.46
103041,1,63,3,2,0,1,2,0,7,47051.8,1188.62
103042,1,40,2,3,0,1,4,2,11,100126.27,2001.26
103043,1,25,1,3,0,2,1,0,13,49395.84,1161.82
103044,1,51,4,3,0,4,7,1,9,26422.58,2575.84
103045,2,73,3,3,0,1,2,0,8,27418.13,1123.73
103046,2,63,1,2,0,1,2,0,13,81996.78,2180.86
103047,1,39,1,5,0,1,2,1,15,7686.29,590.03
103048,1,32,4,3,0,1,3,1,13,72699.82,1909.35
103049,1,23,4,4,0,4,1,0,12,16994.87,775.18
103050,1,28,1,4,0,1,1,0,13,8445.49,340.1
103051,1,55,1,5,0,1,6,0,16,163303.71,4508.47
103052,2,57,1,3,0,1,1,0,6,6649.07,326.49
103053,2,69,3,3,0,1,2,0,1,92102.96,2612.05
103054,2,67,3,5,0,1,1,0,15,66730.97,2004.64
103055,2,73,3,3,0,1,2,0,11,37145.37,845.82
103056,1,27,1,4,0,2,3,0,14,49809.16,1172.77
103057,1,68,4,2,0,1,3,0,14,57778.4,3378.67
103058,2,42,1,5,0,4,3,1,16,165812.92,2448.8
103059,2,47,1,4,1,6,7,3,13,66881.88,1804.82
103060,1,51,3,3,0,1,1,0,4,37112.64,984.3
103061,2,78,3,3,0,1,2,0,9,77245.52,1991.54
103062,1,46,2,4,0,1,2,1,13,43615.61,1287.15
103063,1,40,1,3,0,1,2,0,11,50251.43,1680.01
103064,1,44,1,2,0,1,2,1,8,69724.13,1238.2
103065,1,71,3,5,0,1,2,0,15,110816.55,1819.1
103066,2,44,1,3,0,1,3,2,15,105218.29,2165.96
103067,1,23,1,4,0,1,2,0,13,82716.72,1046.6
103068,2,45,1,3,0,1,4,2,14,94270.0,1422.76
103069,1,48,2,2,1,1,6,1,13,86004.73,1761.63
103070,2,55,1,3,0,1,1,0,14,84709.65,1705.01
103071,2,60,1,2,0,2,3,0,12,44938.89,1405.6
103072,2,68,3,5,0,1,1,0,14,71380.8,2506.69
103073,1,42,1,4,0,1,4,2,14,142440.97,3571.12
103074,1,57,1,3,0,1,3,0,15,136336.62,2523.67
103075,2,68,3,2,0,1,2,0,8,41962.85,1612.03
103076,2,44,1,5,0,1,4,1,16,135349.0,2441.79
103077,2,34,1,3,0,1,4,2,14,91750.95,2112.55
103078,1,59,1,3,0,1,1,0,12,82120.89,2478.79
103079,2,39,1,3,1,1,6,4,13,147979.56,1372.3
103080,1,77,3,1,0,1,2,0,16,213090.57,7489.34
103081,1,54,4,3,0,1,4,0,12,99901.79,1834.25
103082,1,61,1,3,0,1,2,0,16,81700.3,2832.43
103083,2,64,1,3,0,1,2,0,15,62124.61,2061.09
103084,2,47,1,5,0,1,2,0,15,25883.88,937.51
103085,1,42,1,2,0,2,2,1,6,40088.85,1338.84
103086,2,85,3,5,0,1,2,0,16,261768.36,2361.76
103087,1,39,1,2,1,1,3,1,11,33336.48,1121.89
103088,1,29,1,4,0,1,3,1,13,128053.56,2312.92
103089,1,39,4,2,0,3,5,3,3,12084.18,838.19
103090,2,83,3,2,1,1,2,0,7,28741.54,917.67
103091,1,52,2,2,0,1,4,2,7,52734.38,1695.21
103092,1,37,1,3,0,1,3,1,12,65144.47,2978.88
103093,1,67,3,4,0,1,2,0,13,84672.67,1424.55
103094,1,73,3,5,0,1,1,0,13,128554.53,1780.36
103095,1,73,3,2,0,1,1,0,5,23499.76,1052.74
103096,1,67,3,5,0,1,1,0,8,74696.94,1123.22
103097,2,21,2,2,0,2,2,0,9,35313.78,867.95
103098,2,28,2,2,0,1,4,3,2,75752.43,1340.22
103099,1,62,4,4,0,1,3,0,5,104350.88,3027.81
103100,1,46,2,2,1,1,2,1,11,45210.25,2779.45
103101,1,41,2,5,0,1,5,3,16,110840.38,1969.93
103102,1,43,4,5,0,1,3,1,13,96343.04,1966.31
103103,1,58,1,4,0,1,1,0,13,20371.03,552.17
103104,2,30,1,5,0,1,3,1,15,134214.38,2340.57
103105,1,28,1,4,0,1,1,0,11,52775.42,1989.19
103106,1,72,3,2,0,1,1,0,6,39410.54,963.69
103107,2,59,1,2,0,1,1,0,12,45115.21,558.43
103108,1,80,3,3,0,1,1,0,6,31495.92,1192.91
103109,2,37,2,3,0,1,1,0,8,24032.86,979.4
103110,1,52,4,1,1,1,4,3,2,23668.37,463.86
103111,1,60,4,2,0,1,2,0,11,30354.65,1422.61
103112,2,58,3,4,0,1,4,0,16,199978.99,2542.51
103113,2,78,3,2,0,1,2,0,7,196201.44,3666.05
103114,1,52,4,1,0,1,1,0,12,56416.08,1085.13
103115,2,18,4,3,0,4,5,3,2,54659.97,744.54
103116,1,74,3,2,0,1,2,0,5,61046.96,1680.77
103117,1,66,3,4,0,1,1,0,7,77208.17,1568.67
103118,1,38,1,5,0,1,5,3,15,165186.62,4853.78
103119,2,56,4,4,0,1,1,0,1,62439.58,1867.91
103120,1,35,4,4,1,2,1,0,1,68416.96,1597.27
103121,2,70,1,4,0,1,3,0,14,85002.02,2160.13
103122,2,64,3,2,0,1,2,0,15,89583.78,1728.75
103123,1,54,1,5,0,1,3,1,15,151972.4,4553.54
103124,2,39,1,3,0,1,4,2,14,174539.39,3156.37
103125,1,61,3,3,0,1,3,2,7,94504.58,3351.17
103126,2,59,1,5,0,1,2,0,16,33428.13,1051.47
103127,1,76,3,4,0,1,2,0,15,239762.48,2486.11
103128,2,47,1,4,0,1,4,2,16,113013.44,3060.39
103129,1,73,3,4,0,1,6,0,12,170151.26,2612.73
103130,1,52,4,4,0,1,1,0,1,54635.46,952.88
103131,2,42,1,4,0,1,5,3,15,110482.52,2374.32
103132,1,49,1,5,0,1,1,0,13,97576.01,1597.21
103133,2,73,3,4,0,1,3,1,16,173122.85,3380.2
103134,1,70,3,4,0,1,2,0,12,104098.26,3205.22
103135,1,67,2,3,0,1,2,0,12,222043.98,4423.28
103136,1,37,1,2,0,1,1,0,11,68860.93,2009.43
103137,1,39,1,4,0,1,2,0,16,47586.02,1341.22
103138,1,29,2,4,0,1,2,0,16,40338.47,1139.54
103139,1,25,2,3,0,6,3,1,10,129418.68,2232.79
103140,1,39,1,3,0,1,1,0,9,36845.65,1103.97
103141,1,38,4,4,0,4,5,1,12,46705.75,1370.27
103142,1,61,2,2,0,1,2,0,14,96127.52,1825.65
103143,1,50,1,3,0,1,6,3,14,89112.82,2570.02
103144,2,56,4,3,0,2,2,0,8,36231.24,828.96
103145,1,40,1,2,0,1,2,1,10,66544.44,1808.64
103146,1,35,4,4,0,4,4,2,15,56968.06,1080.03
103147,1,79,3,2,0,1,2,0,1,62493.55,1553.31
103148,2,48,1,3,0,1,3,0,15,114258.3,2383.25
103149,1,46,1,4,0,1,7,4,16,188908.78,3087.99
103150,1,50,1,3,0,1,3,0,15,135475.09,3152.66
103151,2,72,1,2,0,1,3,0,13,333480.75,6632.89
103152,1,60,1,1,0,1,5,1,4,20503.63,753.47
103153,2,54,3,3,0,1,4,2,15,58671.39,1758.56
103154,2,67,1,5,0,1,2,0,16,105231.4,3521.21
103155,2,74,3,3,0,1,2,0,13,47686.38,1131.7
103156,1,67,3,5,0,1,2,0,16,158573.04,2905.91
103157,2,85,3,4,0,1,1,0,13,37548.15,2110.09
103158,1,73,3,2,0,1,1,0,7,42003.17,1213.37
103159,2,68,3,2,0,1,2,0,11,46367.77,1437.42
103160,2,33,1,5,0,1,3,1,14,40148.55,1150.1
103161,1,56,1,3,0,6,1,0,13,49509.38,1326.38
103162,2,54,1,5,0,1,1,0,16,123316.05,1541.2
103163,2,66,1,3,0,2,3,0,11,104246.78,2947.62
103164,2,38,1,3,0,1,3,1,13,74418.9,1317.76
103165,2,47,4,4,0,1,2,0,14,120323.68,1534.73
103166,2,50,1,5,0,1,2,0,14,79259.03,1573.49
103167,1,34,1,4,0,2,1,0,13,60669.17,1411.22
103168,1,28,1,4,0,1,3,1,12,76133.75,1627.57
103169,1,33,1,4,0,1,2,0,13,86850.26,1744.83
103170,1,29,1,3,1,3,7,2,14,71956.2,2702.26
103171,2,52,4,3,0,2,2,0,8,62205.21,2044.01
