DOEID,HHSEX,HHAGE,EMPLOYHH,EDUCATION,SDESCENT,HOUSEHOLDER_RACE,NHSLDMEM,NUMCHILD,MONEYPY,TOTALBTU,TOTALDOL
100097,2,74,3,2,0,1,2,0,16,29988.35,874.62
100098,1,53,4,3,0,1,5,3,9,149973.98,2116.06
100099,2,74,3,5,0,1,2,0,7,145953.61,2825.75
100100,2,73,3,4,0,1,1,0,6,82702.13,3356.34
100101,2,39,1,5,0,1,6,4,15,102981.57,1938.03
100102,1,64,3,3,0,4,2,0,13,144552.95,2185.08
100103,1,70,3,2,0,1,2,0,9,73091.93,1704.92
100104,2,53,1,3,1,1,2,0,13,37427.64,933.38
100105,1,90,4,2,0,1,1,0,4,138615.89,2874.59
100106,1,69,3,4,0,1,2,0,13,97000.68,2192.64
100107,2,62,4,5,0,1,2,0,16,148741.54,1644.24
100108,1,51,1,3,0,1,4,2,15,100245.52,3451.63
100109,1,47,1,4,0,1,2,1,10,52909.1,1428.64
100110,1,33,4,3,0,1,4,2,12,30706.19,1252.14
100111,1,24,4,2,0,2,4,3,1,41093.27,1573.39
100112,1,36,4,3,0,1,4,1,11,119783.55,3768.49
100113,2,35,3,5,0,2,7,3,11,29648.3,1170.35
100114,1,89,3,1,0,1,1,0,4,98881.51,2297.73
100115,2,65,1,5,0,4,4,0,16,82136.61,2651.2
100116,1,69,3,3,0,1,2,0,13,70446.11,1774.01
100117,2,27,1,4,0,1,1,0,15,43939.35,1145.39
100118,1,42,1,3,0,1,5,2,10,149799.73,3559.74
100119,2,22,1,4,1,1,4,0,16,193523.56,6654.77
100120,2,55,1,3,0,1,1,0,15,81588.16,3346.85
100121,1,63,3,2,0,1,4,0,16,75290.25,2291.31
100122,1,47,1,5,0,2,4,2,16,224801.22,3625.34
100123,1,32,4,2,1,1,4,3,1,27438.72,805.2
100124,1,58,3,4,0,1,2,0,16,186944.5,6330.24
100125,1,85,4,2,0,1,5,0,6,91880.94,2377.93
100126,2,66,1,2,1,1,3,0,14,103826.59,1377.66
100127,2,29,1,4,0,1,3,1,15,165217.57,4115.18
100128,2,73,3,4,0,1,3,0,15,161069.63,3310.78
100129,1,35,1,3,1,1,1,0,14,80083.0,1573.71
100130,1,59,1,5,0,1,2,0,16,199875.04,4343.31
100131,2,71,3,4,0,6,2,0,13,84150.83,1349.22
100132,2,78,3,2,0,1,3,0,9,126008.61,2462.49
100133,2,63,3,5,0,1,2,0,12,77429.89,2481.38
100134,1,30,1,5,0,2,1,0,12,13938.7,447.15
100135,1,63,1,4,0,1,1,0,9,64131.37,819.75
100136,2,63,1,1,0,1,1,0,4,49539.31,1643.34
100137,1,44,1,3,0,1,4,2,16,105365.12,1592.36
100138,2,50,1,4,0,1,3,0,16,93078.7,2501.63
100139,1,57,4,3,0,6,4,0,12,96501.76,2342.71
100140,2,48,1,2,0,1,2,0,14,41539.11,1350.72
100141,2,56,1,3,0,1,3,0,12,54534.51,1411.64
100142,2,71,2,5,0,1,1,0,16,47820.13,1519.6
100143,2,37,1,1,0,1,3,1,13,66675.11,2840.9
100144,2,41,1,2,0,1,4,1,14,110079.83,4631.21
100145,1,36,1,3,0,1,1,0,12,25403.11,983.77
100146,1,86,3,2,0,1,1,0,8,122669.45,2259.74
100147,1,56,1,3,0,1,3,0,15,95433.39,3023.62
100148,1,51,2,4,0,1,1,0,9,38190.61,1124.85
100149,1,38,1,5,0,2,1,0,14,27849.24,1109.93
100150,1,65,1,5,0,1,6,2,16,133684.22,4634.12
100151,2,70,3,3,0,1,2,0,13,136757.59,1587.99
100152,1,46,1,3,0,1,3,1,16,121744.8,2581.02
100153,2,84,3,3,0,1,1,0,8,97088.69,1414.85
100154,1,35,1,2,0,1,6,3,8,112755.6,2798.94
100155,1,59,1,2,0,1,2,0,15,91892.55,1510.59
100156,1,82,3,3,0,2,2,0,13,111602.18,3662.04
100157,1,73,3,2,0,1,1,0,6,33582.7,789.02
100158,2,66,3,4,0,1,2,0,16,180080.08,2650.92
100159,1,88,3,2,0,2,1,0,5,68786.87,1676.5
100160,1,69,3,2,0,1,3,0,16,93946.88,2647.51
100161,2,85,3,2,0,1,2,0,12,99850.47,1175.88
100162,2,78,3,2,0,4,3,0,13,25410.79,2192.99
100163,1,75,3,3,0,1,1,0,11,61422.31,1812.75
100164,1,34,1,4,0,1,1,0,13,47974.08,1473.56
100165,1,19,4,3,0,4,7,3,16,51270.39,1644.55
100166,2,53,1,4,0,1,2,1,16,116885.86,1994.03
100167,2,57,2,4,0,1,2,0,16,189050.39,2717.32
100168,2,69,3,4,0,1,1,0,6,175497.0,1418.71
100169,2,82,3,2,0,1,1,0,13,19461.09,718.4
100170,1,63,1,5,0,1,6,4,13,31047.45,1599.11
100171,1,47,1,2,0,2,4,2,4,23521.64,758.13
100172,1,34,1,4,0,2,4,3,11,48218.7,1766.52
100173,1,61,3,3,0,1,4,0,14,78221.17,1685.2
100174,1,68,3,2,0,1,2,0,8,38046.35,1068.69
100175,1,61,3,2,0,1,2,0,14,68212.08,1913.16
100176,1,61,3,3,0,1,2,0,14,98201.01,1961.88
100177,2,79,3,5,0,1,3,0,14,64399.17,1552.9
100178,2,71,3,3,0,1,2,0,8,101744.54,2501.44
100179,1,72,3,3,0,1,2,0,13,58986.2,1715.33
100180,1,62,3,2,0,1,3,0,14,239979.44,5684.77
100181,1,54,1,4,0,1,2,0,14,33289.67,1047.65
100182,2,65,3,3,0,1,2,0,15,118525.43,2339.29
100183,1,29,1,4,0,1,2,0,15,38782.72,1043.26
100184,2,59,1,4,0,1,2,0,15,56425.92,1717.04
100185,2,83,3,5,0,2,2,0,15,291282.7,3907.21
100186,1,44,1,3,0,1,3,2,15,51410.43,2133.04
100187,2,21,1,3,0,1,3,0,13,24793.31,795.7
100188,2,70,3,3,0,1,2,0,14,133420.2,3076.8
100189,2,77,1,4,0,1,2,0,7,74312.06,1339.77
100190,2,45,4,2,0,1,1,0,6,82316.2,722.8
100191,2,55,4,2,0,1,2,0,7,140131.47,3912.24
100192,1,66,3,4,0,1,1,0,11,41329.36,1050.24
100193,1,76,3,2,0,1,2,0,3,71252.1,2399.6
100194,1,66,3,1,0,1,1,0,2,7721.25,461.19
100195,1,31,1,4,0,1,4,2,14,122319.61,1372.38
100196,2,26,1,4,0,1,1,0,13,22007.07,731.93
100197,2,74,3,4,0,1,1,0,10,22762.35,1589.45
100198,1,31,1,4,0,1,1,0,11,16117.54,684.8
100199,2,62,3,2,0,2,2,0,1,22247.07,846.55
100200,2,76,3,1,0,1,2,0,4,45213.3,1470.83
100201,2,79,3,1,1,1,2,0,7,106730.82,1207.77
100202,1,83,2,2,0,1,1,0,6,82478.58,887.61
100203,1,56,1,2,0,1,3,1,15,104625.33,3733.98
100204,1,80,3,1,0,2,1,0,5,20687.18,772.14
100205,1,30,1,5,0,1,1,0,15,34427.83,997.48
100206,1,55,1,2,0,1,2,0,16,131677.17,3202.15
100207,2,88,3,2,0,4,2,0,15,99145.99,1220.46
100208,1,77,3,2,0,1,2,0,1,52071.37,1499.64
100209,1,66,3,4,0,2,2,0,12,47236.91,1441.04
100210,1,85,3,2,0,1,2,0,6,44096.17,949.28
100211,1,61,3,5,0,5,3,0,11,59903.2,1261.56
100212,1,55,1,3,0,1,3,1,13,111620.53,2098.55
100213,2,64,3,3,0,1,1,0,10,85859.25,1304.95
100214,1,50,1,4,0,1,2,0,14,106170.01,1879.7
