DOEID,REGIONC,DIVISION,state_postal,BA_climate,TOTALBTU,TOTALDOL
108997,SOUTH,South Atlantic,FL,Hot-Humid,41633.66,1353.79
108998,MIDWEST,East North Central,WI,Cold,162829.81,2652.42
108999,WEST,Mountain North,MT,Cold,61263.16,1672.24
109000,NORTHEAST,Middle Atlantic,NJ,Cold,171029.19,3023.25
109001,WEST,Mountain North,MT,Cold,171896.14,2178.79
109002,SOUTH,South Atlantic,VA,Mixed-Humid,25707.84,903.79
109003,SOUTH,East South Central,TN,Mixed-Humid,68996.27,1753.49
109004,SOUTH,South Atlantic,NC,Mixed-Humid,25798.44,860.76
109005,SOUTH,South Atlantic,GA,Mixed-Humid,61758.23,2264.79
109006,WEST,Pacific,OR,Marine,50253.28,1628.09
109007,SOUTH,West South Central,TX,Hot-Humid,29919.22,1016.77
109008,NORTHEAST,Middle Atlantic,NJ,Mixed-Humid,210883.49,2938.65
109009,SOUTH,South Atlantic,FL,Hot-Humid,61588.15,2161.55
109010,WEST,Pacific,CA,Hot-Dry,22083.8,1049.31
109011,WEST,Pacific,OR,Marine,20575.34,695.41
109012,WEST,Pacific,WA,Marine,18209.91,588.65
109013,SOUTH,East South Central,TN,Mixed-Humid,88233.72,1922.39
109014,SOUTH,South Atlantic,NC,Mixed-Humid,84948.76,1618.94
109015,MIDWEST,East North Central,OH,Cold,90593.73,1483.8
109016,SOUTH,South Atlantic,WV,Cold,154837.79,2352.57
109017,MIDWEST,East North Central,IL,Mixed-Humid,121971.38,2002.49
109018,SOUTH,West South Central,TX,Hot-Humid,11996.06,862.1
109019,SOUTH,South Atlantic,FL,Hot-Humid,28704.65,956.03
109020,SOUTH,West South Central,TX,Hot-Humid,30526.25,998.83
109021,NORTHEAST,Middle Atlantic,PA,Cold,76791.19,1281.93
109022,WEST,Mountain North,MT,Cold,144969.16,1776.38
109023,WEST,Pacific,WA,Marine,161711.84,2474.34
109024,WEST,Mountain North,MT,Cold,76220.93,837.11
109025,MIDWEST,East North Central,IL,Mixed-Humid,94795.46,1792.13
109026,WEST,Pacific,CA,Hot-Dry,59980.85,2344.05
109027,SOUTH,South Atlantic,FL,Hot-Humid,61753.03,1917.08
109028,NORTHEAST,New England,CT,Cold,9516.83,569.88
109029,SOUTH,South Atlantic,NC,Mixed-Humid,38274.18,944.76
109030,MIDWEST,East North Central,WI,Cold,76900.42,1643.46
109031,WEST,Pacific,AK,Very-Cold,149018.07,2788.63
109032,NORTHEAST,New England,CT,Cold,35855.15,2318.17
109033,SOUTH,South Atlantic,MD,Mixed-Humid,18043.19,542.57
109034,SOUTH,South Atlantic,GA,Mixed-Humid,8979.93,465.94
109035,SOUTH,South Atlantic,VA,Mixed-Humid,53970.06,1870.27
109036,WEST,Mountain North,ID,Cold,128286.32,1760.77
109037,SOUTH,West South Central,LA,Hot-Humid,23810.8,712.4
109038,NORTHEAST,Middle Atlantic,PA,Cold,22592.59,711.0
109039,NORTHEAST,Middle Atlantic,PA,Mixed-Humid,34227.38,876.64
109040,WEST,Pacific,OR,Marine,42216.75,1352.35
109041,SOUTH,South Atlantic,MD,Mixed-Humid,39254.03,1176.54
109042,MIDWEST,East North Central,WI,Cold,113192.14,1899.03
109043,SOUTH,South Atlantic,GA,Hot-Humid,56254.27,2031.23
109044,WEST,Pacific,HI,Hot-Humid,27652.68,2283.81
109045,MIDWEST,East North Central,IL,Cold,47905.82,1404.37
109046,WEST,Mountain North,CO,Cold,33274.8,1048.62
109047,WEST,Mountain South,NM,Mixed-Dry,117296.79,2518.75
109048,SOUTH,South Atlantic,DC,Mixed-Humid,49023.91,1633.92
109049,SOUTH,South Atlantic,GA,Hot-Humid,43908.97,1431.92
109050,NORTHEAST,New England,VT,Cold,57312.12,2479.33
109051,NORTHEAST,New England,VT,Cold,156689.99,3845.1
109052,SOUTH,South Atlantic,MD,Mixed-Humid,183361.68,3262.55
109053,SOUTH,South Atlantic,NC,Mixed-Humid,20603.49,930.11
109054,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,58762.48,1782.0
109055,NORTHEAST,Middle Atlantic,NY,Cold,47979.45,801.05
109056,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,91206.7,3171.94
109057,WEST,Pacific,CA,Hot-Dry,45087.98,1460.35
109058,NORTHEAST,New England,ME,Cold,65246.44,1609.9
109059,SOUTH,West South Central,TX,Hot-Humid,62779.63,2037.81
