DOEID,REGIONC,DIVISION,state_postal,BA_climate,TOTALBTU,TOTALDOL
100001,WEST,Mountain South,NM,Mixed-Dry,144647.71,2656.89
100002,SOUTH,West South Central,AR,Mixed-Humid,28034.61,975.0
100003,WEST,Mountain South,NM,Mixed-Dry,30749.71,522.65
100004,SOUTH,South Atlantic,SC,Mixed-Humid,86765.19,2061.77
100005,NORTHEAST,Middle Atlantic,NJ,Mixed-Humid,59126.93,1463.04
100006,SOUTH,West South Central,TX,Hot-Humid,85400.64,2335.08
100007,SOUTH,West South Central,OK,Mixed-Humid,131875.03,2110.5
100008,SOUTH,East South Central,MS,Mixed-Humid,41446.59,1237.05
100009,SOUTH,South Atlantic,DC,Mixed-Humid,14512.02,549.8
100010,WEST,Mountain South,AZ,Hot-Dry,12393.76,625.41
100011,WEST,Pacific,CA,Hot-Dry,58496.25,487.81
100012,SOUTH,West South Central,TX,Hot-Dry,73867.11,1572.92
100013,SOUTH,West South Central,LA,Hot-Humid,83979.36,1655.46
100014,MIDWEST,West North Central,MN,Very-Cold,30595.98,644.85
100015,NORTHEAST,New England,VT,Cold,98033.63,3308.86
100016,WEST,Pacific,CA,Hot-Dry,39937.69,2250.57
100017,NORTHEAST,New England,RI,Cold,112775.2,3064.28
100018,WEST,Mountain South,NM,Mixed-Dry,125582.35,1322.89
100019,SOUTH,West South Central,AR,Mixed-Humid,51945.31,1635.06
100020,SOUTH,West South Central,LA,Hot-Humid,53803.14,1549.78
100021,MIDWEST,East North Central,IL,Cold,54005.2,1281.99
100022,MIDWEST,East North Central,IL,Cold,23415.09,933.32
100023,NORTHEAST,New England,ME,Cold,79849.84,2922.94
100024,MIDWEST,West North Central,SD,Cold,33972.06,1142.86
100025,MIDWEST,East North Central,IL,Cold,121761.49,1579.52
100026,NORTHEAST,New England,MA,Cold,43461.64,2348.58
100027,MIDWEST,West North Central,MN,Cold,124372.24,1967.28
100028,NORTHEAST,New England,MA,Cold,97416.98,1230.85
100029,SOUTH,South Atlantic,FL,Hot-Humid,53728.89,1747.09
100030,MIDWEST,East North Central,OH,Cold,65619.52,1900.62
100031,NORTHEAST,New England,RI,Cold,113020.98,2731.6
100032,MIDWEST,West North Central,NE,Cold,80187.87,1535.72
100033,WEST,Mountain South,AZ,Hot-Dry,91317.7,3497.17
100034,MIDWEST,West North Central,MN,Cold,217651.23,2812.16
100035,NORTHEAST,New England,VT,Cold,108269.17,1482.12
100036,SOUTH,West South Central,OK,Mixed-Humid,70527.71,1394.84
100037,MIDWEST,East North Central,IL,Cold,108156.16,1271.07
100038,SOUTH,South Atlantic,VA,Mixed-Humid,194817.9,3840.37
100039,WEST,Mountain North,WY,Cold,22005.56,515.23
100040,NORTHEAST,Middle Atlantic,PA,Cold,47211.0,1712.81
100041,SOUTH,West South Central,TX,Hot-Humid,101510.16,1914.91
100042,WEST,Pacific,HI,Hot-Humid,19492.16,1644.89
100043,WEST,Pacific,CA,Hot-Dry,73291.53,2665.59
100044,NORTHEAST,New England,NH,Cold,18345.72,963.68
100045,MIDWEST,East North Central,MI,Cold,20481.83,1046.1
100046,WEST,Pacific,CA,Hot-Dry,97641.74,3414.81
100047,SOUTH,South Atlantic,MD,Mixed-Humid,123418.57,2236.22
100048,NORTHEAST,Middle Atlantic,NY,Cold,50997.29,1046.0
100049,SOUTH,South Atlantic,MD,Mixed-Humid,32991.72,1403.65
100050,WEST,Mountain South,AZ,Hot-Dry,37034.36,1170.92
100051,MIDWEST,East North Central,MI,Cold,191749.62,3506.79
100052,SOUTH,South Atlantic,VA,Mixed-Humid,15493.18,638.56
100053,SOUTH,South Atlantic,MD,Mixed-Humid,59388.6,1328.63
100054,MIDWEST,East North Central,MI,Cold,109411.63,2309.65
100055,WEST,Mountain North,CO,Cold,182565.43,1945.99
100056,SOUTH,South Atlantic,NC,Mixed-Humid,31483.35,1102.84
100057,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,79191.86,2567.38
100058,MIDWEST,East North Central,IL,Cold,79741.19,2576.49
100059,SOUTH,East South Central,KY,Mixed-Humid,26737.37,939.24
100060,WEST,Mountain North,CO,Cold,144172.84,1560.42
100061,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,39065.33,2881.34
100062,MIDWEST,West North Central,ND,Very-Cold,20237.67,559.35
100063,WEST,Pacific,CA,Hot-Dry,60489.7,2046.49
100064,SOUTH,South Atlantic,GA,Mixed-Humid,86574.0,3226.06
100065,SOUTH,South Atlantic,WV,Cold,80136.82,1919.22
100066,SOUTH,West South Central,TX,Hot-Humid,150028.53,4289.55
100067,NORTHEAST,New England,RI,Cold,124759.42,3345.44
100068,NORTHEAST,New England,VT,Cold,84755.32,2141.35
100069,MIDWEST,East North Central,MI,Cold,68753.86,1063.9
100070,SOUTH,South Atlantic,MD,Mixed-Humid,51512.95,1080.38
100071,MIDWEST,West North Central,ND,Cold,15377.89,579.3
100072,SOUTH,South Atlantic,SC,Mixed-Humid,23907.61,1260.23
100073,WEST,Pacific,OR,Marine,88173.27,2422.17
100074,SOUTH,South Atlantic,FL,Hot-Humid,54308.63,1800.73
100075,MIDWEST,West North Central,MO,Mixed-Humid,230527.06,3530.8
100076,NORTHEAST,Middle Atlantic,NJ,Mixed-Humid,34304.28,683.43
100077,SOUTH,South Atlantic,FL,Hot-Humid,33198.62,1193.44
100078,WEST,Mountain North,UT,Cold,60472.91,975.05
100079,NORTHEAST,New England,CT,Cold,63422.66,2320.65
100080,SOUTH,West South Central,TX,Hot-Dry,36655.91,894.06
100081,MIDWEST,West North Central,ND,Very-Cold,21018.22,523.91
100082,NORTHEAST,New England,ME,Cold,69578.63,2117.98
100083,SOUTH,East South Central,TN,Mixed-Humid,85079.04,1566.74
100084,MIDWEST,East North Central,WI,Cold,87999.36,2113.14
100085,MIDWEST,East North Central,OH,Cold,110564.74,1595.64
100086,WEST,Pacific,CA,Hot-Dry,81478.81,4657.33
100087,SOUTH,East South Central,TN,Mixed-Humid,60206.07,1737.58
100088,MIDWEST,East North Central,IL,Cold,186898.32,3809.67
100089,NORTHEAST,New England,MA,Cold,94189.04,2143.44
100090,SOUTH,East South Central,TN,Mixed-Humid,42959.19,1105.83
100091,MIDWEST,East North Central,OH,Cold,126940.07,1894.06
100092,WEST,Mountain North,ID,Cold,178071.4,2596.07
100093,NORTHEAST,New England,ME,Cold,61584.35,1181.06
100094,SOUTH,West South Central,OK,Mixed-Humid,40857.91,1224.72
100095,SOUTH,South Atlantic,NC,Mixed-Humid,44976.0,1541.23
100096,MIDWEST,East North Central,WI,Cold,72186.84,1887.02
100097,SOUTH,South Atlantic,FL,Hot-Humid,29988.35,874.62
100098,SOUTH,West South Central,OK,Mixed-Humid,149973.98,2116.06
100099,WEST,Mountain South,NV,Hot-Dry,145953.61,2825.75
100100,MIDWEST,East North Central,MI,Cold,82702.13,3356.34
100101,WEST,Pacific,WA,Cold,102981.57,1938.03
100102,SOUTH,East South Central,TN,Mixed-Humid,144552.95,2185.08
100103,NORTHEAST,Middle Atlantic,NY,Cold,73091.93,1704.92
100104,SOUTH,South Atlantic,NC,Mixed-Humid,37427.64,933.38
100105,MIDWEST,East North Central,OH,Cold,138615.89,2874.59
100106,NORTHEAST,New England,VT,Cold,97000.68,2192.64
100107,MIDWEST,West North Central,NE,Cold,148741.54,1644.24
100108,SOUTH,South Atlantic,VA,Mixed-Humid,100245.52,3451.63
100109,SOUTH,South Atlantic,GA,Hot-Humid,52909.1,1428.64
100110,WEST,Pacific,CA,Marine,30706.19,1252.14
100111,SOUTH,South Atlantic,SC,Mixed-Humid,41093.27,1573.39
100112,SOUTH,West South Central,TX,Hot-Humid,119783.55,3768.49
100113,SOUTH,South Atlantic,NC,Mixed-Humid,29648.3,1170.35
100114,WEST,Pacific,WA,Cold,98881.51,2297.73
100115,WEST,Pacific,CA,Marine,82136.61,2651.2
100116,MIDWEST,East North Central,MI,Cold,70446.11,1774.01
100117,NORTHEAST,Middle Atlantic,NJ,Mixed-Humid,43939.35,1145.39
100118,WEST,Mountain South,NM,Hot-Dry,149799.73,3559.74
100119,NORTHEAST,Middle Atlantic,NJ,Mixed-Humid,193523.56,6654.77
100120,SOUTH,South Atlantic,MD,Mixed-Humid,81588.16,3346.85
100121,NORTHEAST,New England,MA,Cold,75290.25,2291.31
100122,MIDWEST,East North Central,WI,Cold,224801.22,3625.34
100123,SOUTH,West South Central,TX,Hot-Humid,27438.72,805.2
100124,WEST,Pacific,CA,Hot-Dry,186944.5,6330.24
100125,NORTHEAST,Middle Atlantic,NJ,Mixed-Humid,91880.94,2377.93
100126,WEST,Mountain North,CO,Cold,103826.59,1377.66
100127,NORTHEAST,New England,ME,Cold,165217.57,4115.18
100128,NORTHEAST,New England,MA,Cold,161069.63,3310.78
100129,SOUTH,South Atlantic,VA,Mixed-Humid,80083.0,1573.71
100130,SOUTH,West South Central,TX,Mixed-Humid,199875.04,4343.31
100131,MIDWEST,East North Central,WI,Cold,84150.83,1349.22
100132,SOUTH,South Atlantic,VA,Mixed-Humid,126008.61,2462.49
100133,WEST,Pacific,CA,Marine,77429.89,2481.38
100134,WEST,Pacific,WA,Marine,13938.7,447.15
100135,MIDWEST,West North Central,NE,Cold,64131.37,819.75
100136,MIDWEST,East North Central,IN,Mixed-Humid,49539.31,1643.34
100137,WEST,Mountain North,UT,Cold,105365.12,1592.36
100138,SOUTH,South Atlantic,GA,Mixed-Humid,93078.7,2501.63
100139,SOUTH,South Atlantic,MD,Mixed-Humid,96501.76,2342.71
100140,SOUTH,South Atlantic,FL,Hot-Humid,41539.11,1350.72
100141,WEST,Mountain North,ID,Cold,54534.51,1411.64
100142,SOUTH,South Atlantic,MD,Mixed-Humid,47820.13,1519.6
100143,SOUTH,South Atlantic,GA,Hot-Humid,66675.11,2840.9
100144,SOUTH,East South Central,TN,Mixed-Humid,110079.83,4631.21
100145,SOUTH,South Atlantic,DE,Mixed-Humid,25403.11,983.77
100146,MIDWEST,East North Central,IN,Cold,122669.45,2259.74
100147,WEST,Pacific,CA,Hot-Dry,95433.39,3023.62
100148,SOUTH,South Atlantic,GA,Mixed-Humid,38190.61,1124.85
100149,NORTHEAST,Middle Atlantic,PA,Mixed-Humid,27849.24,1109.93
100150,WEST,Pacific,CA,Hot-Dry,133684.22,4634.12
100151,MIDWEST,West North Central,ND,Cold,136757.59,1587.99
100152,MIDWEST,East North Central,OH,Cold,121744.8,2581.02
100153,WEST,Mountain North,UT,Cold,97088.69,1414.85
100154,SOUTH,West South Central,TX,Hot-Humid,112755.6,2798.94
100155,MIDWEST,West North Central,NE,Cold,91892.55,1510.59
100156,NORTHEAST,New England,MA,Cold,111602.18,3662.04
100157,SOUTH,South Atlantic,DC,Mixed-Humid,33582.7,789.02
100158,WEST,Mountain South,AZ,Hot-Dry,180080.08,2650.92
100159,SOUTH,South Atlantic,GA,Hot-Humid,68786.87,1676.5
100160,MIDWEST,West North Central,ND,Very-Cold,93946.88,2647.51
100161,MIDWEST,West North Central,IA,Cold,99850.47,1175.88
100162,WEST,Pacific,HI,Hot-Humid,25410.79,2192.99
100163,SOUTH,South Atlantic,MD,Mixed-Humid,61422.31,1812.75
100164,NORTHEAST,New England,VT,Cold,47974.08,1473.56
100165,WEST,Pacific,HI,Hot-Humid,51270.39,1644.55
100166,SOUTH,West South Central,AR,Mixed-Humid,116885.86,1994.03
100167,MIDWEST,East North Central,IN,Cold,189050.39,2717.32
100168,MIDWEST,West North Central,ND,Very-Cold,175497.0,1418.71
100169,SOUTH,East South Central,TN,Mixed-Humid,19461.09,718.4
100170,NORTHEAST,New England,VT,Cold,31047.45,1599.11
100171,SOUTH,East South Central,TN,Mixed-Humid,23521.64,758.13
100172,SOUTH,South Atlantic,VA,Mixed-Humid,48218.7,1766.52
100173,WEST,Pacific,WA,Marine,78221.17,1685.2
100174,WEST,Pacific,WA,Marine,38046.35,1068.69
100175,SOUTH,West South Central,LA,Hot-Humid,68212.08,1913.16
100176,MIDWEST,East North Central,OH,Cold,98201.01,1961.88
100177,SOUTH,East South Central,TN,Mixed-Humid,64399.17,1552.9
100178,MIDWEST,East North Central,WI,Cold,101744.54,2501.44
100179,WEST,Mountain North,ID,Cold,58986.2,1715.33
100180,WEST,Pacific,AK,Very-Cold,239979.44,5684.77
100181,WEST,Pacific,WA,Marine,33289.67,1047.65
100182,SOUTH,West South Central,LA,Hot-Humid,118525.43,2339.29
100183,SOUTH,South Atlantic,DC,Mixed-Humid,38782.72,1043.26
100184,NORTHEAST,New England,MA,Cold,56425.92,1717.04
100185,MIDWEST,East North Central,IL,Cold,291282.7,3907.21
100186,MIDWEST,East North Central,IN,Cold,51410.43,2133.04
100187,SOUTH,East South Central,TN,Mixed-Humid,24793.31,795.7
100188,NORTHEAST,Middle Atlantic,NY,Cold,133420.2,3076.8
100189,WEST,Mountain North,ID,Cold,74312.06,1339.77
100190,MIDWEST,West North Central,ND,Very-Cold,82316.2,722.8
100191,MIDWEST,East North Central,OH,Cold,140131.47,3912.24
100192,NORTHEAST,Middle Atlantic,NJ,Cold,41329.36,1050.24
100193,SOUTH,South Atlantic,SC,Hot-Humid,71252.1,2399.6
100194,SOUTH,East South Central,KY,Mixed-Humid,7721.25,461.19
100195,MIDWEST,West North Central,ND,Cold,122319.61,1372.38
100196,SOUTH,South Atlantic,DC,Mixed-Humid,22007.07,731.93
100197,WEST,Pacific,HI,Hot-Humid,22762.35,1589.45
100198,SOUTH,South Atlantic,SC,Hot-Humid,16117.54,684.8
100199,SOUTH,West South Central,AR,Hot-Humid,22247.07,846.55
100200,SOUTH,East South Central,TN,Mixed-Humid,45213.3,1470.83
100201,WEST,Mountain North,CO,Cold,106730.82,1207.77
100202,MIDWEST,West North Central,IA,Cold,82478.58,887.61
100203,SOUTH,South Atlantic,WV,Mixed-Humid,104625.33,3733.98
100204,SOUTH,East South Central,TN,Mixed-Humid,20687.18,772.14
100205,SOUTH,South Atlantic,NC,Mixed-Humid,34427.83,997.48
100206,SOUTH,East South Central,KY,Mixed-Humid,131677.17,3202.15
100207,WEST,Mountain North,CO,Cold,99145.99,1220.46
100208,WEST,Pacific,OR,Marine,52071.37,1499.64
100209,SOUTH,East South Central,AL,Mixed-Humid,47236.91,1441.04
100210,WEST,Mountain North,MT,Cold,44096.17,949.28
100211,WEST,Pacific,HI,Hot-Humid,59903.2,1261.56
100212,MIDWEST,East North Central,OH,Cold,111620.53,2098.55
100213,WEST,Mountain South,NM,Mixed-Dry,85859.25,1304.95
100214,WEST,Mountain North,WY,Cold,106170.01,1879.7
100215,NORTHEAST,New England,NH,Cold,97860.99,1722.43
100216,WEST,Pacific,CA,Hot-Dry,24684.19,649.89
100217,MIDWEST,East North Central,IL,Cold,158996.17,4320.91
100218,MIDWEST,East North Central,IN,Cold,67091.45,1270.73
100219,WEST,Pacific,CA,Hot-Dry,34367.75,1581.0
100220,MIDWEST,East North Central,IN,Mixed-Humid,147023.04,3298.35
100221,MIDWEST,West North Central,MN,Cold,55409.2,1581.33
100222,NORTHEAST,New England,MA,Cold,147320.77,4363.23
100223,WEST,Pacific,CA,Hot-Dry,51457.08,927.67
100224,WEST,Mountain North,WY,Cold,159129.86,1333.98
100225,SOUTH,West South Central,TX,Hot-Humid,164824.59,4721.42
100226,NORTHEAST,New England,MA,Cold,36207.64,1244.51
100227,NORTHEAST,Middle Atlantic,PA,Cold,74656.57,1955.35
100228,SOUTH,East South Central,MS,Mixed-Humid,88248.56,1760.21
100229,SOUTH,West South Central,TX,Hot-Humid,75626.8,2583.92
100230,NORTHEAST,Middle Atlantic,NY,Cold,103088.89,1308.3
100231,SOUTH,East South Central,AL,Mixed-Humid,63024.77,2245.79
100232,SOUTH,East South Central,KY,Mixed-Humid,123336.99,2645.88
100233,MIDWEST,East North Central,OH,Cold,122544.49,1828.17
100234,MIDWEST,East North Central,MI,Cold,88437.18,1604.99
100235,WEST,Pacific,CA,Marine,81624.32,2644.04
100236,NORTHEAST,New England,CT,Cold,8579.97,2036.29
100237,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,204219.72,6659.05
100238,WEST,Pacific,WA,Marine,62356.12,2252.75
100239,WEST,Pacific,WA,Cold,74996.75,1252.04
100240,SOUTH,West South Central,AR,Mixed-Humid,84947.56,1673.44
100241,MIDWEST,West North Central,SD,Cold,129848.47,2237.63
100242,WEST,Pacific,OR,Marine,10927.55,511.15
100243,NORTHEAST,New England,MA,Cold,87654.08,2438.6
100244,SOUTH,South Atlantic,FL,Hot-Humid,65756.3,2138.19
100245,NORTHEAST,Middle Atlantic,NJ,Mixed-Humid,147246.25,2201.62
100246,WEST,Mountain North,CO,Cold,128688.73,2474.48
100247,SOUTH,South Atlantic,NC,Mixed-Humid,50921.31,1675.22
100248,WEST,Pacific,OR,Marine,62332.47,2290.96
100249,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,45291.99,2027.4
100250,SOUTH,West South Central,TX,Hot-Humid,56538.79,1890.21
100251,NORTHEAST,Middle Atlantic,NY,Cold,145138.68,2800.9
100252,SOUTH,East South Central,AL,Mixed-Humid,30088.06,1295.46
100253,NORTHEAST,New England,CT,Cold,82145.93,3026.03
100254,WEST,Mountain North,CO,Cold,22168.1,866.24
100255,SOUTH,South Atlantic,NC,Mixed-Humid,54565.57,1016.0
100256,SOUTH,West South Central,TX,Hot-Dry,78912.1,1456.95
100257,NORTHEAST,Middle Atlantic,PA,Mixed-Humid,107977.3,1188.15
100258,MIDWEST,West North Central,IA,Cold,111754.66,1272.38
100259,WEST,Pacific,OR,Marine,36707.99,1015.78
100260,SOUTH,South Atlantic,GA,Hot-Humid,85944.56,2340.57
100261,SOUTH,East South Central,TN,Mixed-Humid,31984.22,1175.99
100262,WEST,Mountain South,NV,Hot-Dry,38417.19,928.96
100263,WEST,Pacific,CA,Hot-Dry,80362.51,2625.64
100264,MIDWEST,East North Central,MI,Cold,171684.52,1990.93
100265,NORTHEAST,Middle Atlantic,PA,Cold,178788.01,3533.55
100266,SOUTH,South Atlantic,DE,Mixed-Humid,59038.16,2197.88
100267,MIDWEST,West North Central,MO,Mixed-Humid,23654.59,1137.46
100268,SOUTH,South Atlantic,MD,Mixed-Humid,42663.01,1294.85
100269,MIDWEST,West North Central,MN,Cold,81131.38,1397.87
100270,WEST,Mountain North,ID,Cold,37713.45,1045.52
100271,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,150598.03,3933.9
100272,MIDWEST,West North Central,IA,Cold,118146.29,2765.17
100273,WEST,Mountain South,AZ,Hot-Dry,34774.51,1243.02
100274,SOUTH,South Atlantic,VA,Mixed-Humid,122914.99,3737.65
100275,SOUTH,East South Central,KY,Mixed-Humid,56982.75,1759.98
100276,WEST,Pacific,CA,Hot-Dry,48378.83,836.53
100277,WEST,Mountain South,AZ,Hot-Dry,18102.63,839.92
100278,WEST,Pacific,CA,Marine,16173.01,737.92
100279,SOUTH,South Atlantic,VA,Mixed-Humid,31548.46,457.23
100280,WEST,Mountain North,CO,Cold,60624.77,705.92
100281,MIDWEST,East North Central,IN,Cold,137584.75,3301.32
100282,SOUTH,East South Central,KY,Mixed-Humid,109959.87,2668.61
100283,NORTHEAST,Middle Atlantic,PA,Cold,107885.1,2185.97
100284,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,112124.93,2646.72
100285,WEST,Mountain North,ID,Cold,19016.46,558.63
100286,MIDWEST,East North Central,MI,Cold,200367.35,5892.24
100287,WEST,Pacific,WA,Cold,92307.1,1249.98
100288,WEST,Pacific,CA,Hot-Dry,42916.43,980.49
100289,SOUTH,West South Central,LA,Hot-Humid,86613.95,1735.87
100290,WEST,Mountain South,AZ,Mixed-Dry,136695.58,3225.44
100291,SOUTH,East South Central,MS,Hot-Humid,59342.55,1896.32
100292,WEST,Pacific,WA,Marine,54285.08,1669.83
100293,WEST,Pacific,CA,Hot-Dry,43614.07,729.77
100294,SOUTH,West South Central,TX,Hot-Humid,336987.45,5241.36
100295,WEST,Pacific,WA,Marine,131676.52,2856.99
100296,SOUTH,East South Central,KY,Mixed-Humid,89853.16,3086.04
100297,WEST,Pacific,HI,Hot-Humid,41965.33,2724.53
100298,NORTHEAST,New England,ME,Cold,44889.87,836.85
100299,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,50728.97,1561.61
100300,WEST,Mountain South,AZ,Hot-Dry,45510.57,1125.17
100301,WEST,Pacific,CA,Marine,60582.17,1315.47
100302,NORTHEAST,New England,ME,Cold,169172.28,3923.82
100303,SOUTH,South Atlantic,VA,Mixed-Humid,69360.08,2296.78
100304,SOUTH,West South Central,TX,Hot-Humid,104517.39,2397.33
100305,WEST,Pacific,AK,Very-Cold,120432.0,2565.4
100306,MIDWEST,East North Central,IL,Cold,136409.09,2133.59
100307,MIDWEST,East North Central,MI,Cold,124521.8,1462.66
100308,NORTHEAST,New England,ME,Cold,52875.92,1067.0
100309,NORTHEAST,Middle Atlantic,PA,Mixed-Humid,50837.07,768.89
100310,MIDWEST,East North Central,WI,Cold,102281.13,1407.62
100311,SOUTH,South Atlantic,NC,Cold,75425.21,2059.41
100312,MIDWEST,West North Central,KS,Mixed-Humid,44571.93,1724.4
100313,WEST,Pacific,CA,Hot-Dry,39413.52,1019.21
100314,WEST,Mountain South,NV,Hot-Dry,65766.17,1446.91
100315,SOUTH,South Atlantic,NC,Mixed-Humid,70101.87,2104.83
100316,WEST,Mountain South,NM,Hot-Dry,79200.11,1843.07
100317,WEST,Pacific,CA,Hot-Dry,41274.49,501.19
100318,SOUTH,South Atlantic,FL,Hot-Humid,40966.72,1529.12
100319,MIDWEST,West North Central,IA,Cold,125503.96,1948.51
100320,MIDWEST,East North Central,IL,Cold,100491.15,1493.84
100321,NORTHEAST,New England,VT,Cold,86580.65,2154.34
100322,SOUTH,South Atlantic,NC,Hot-Humid,51740.75,1927.13
100323,SOUTH,South Atlantic,SC,Mixed-Humid,31834.31,1129.18
100324,NORTHEAST,Middle Atlantic,NY,Cold,93878.87,1421.56
100325,SOUTH,West South Central,TX,Hot-Humid,6835.65,433.72
100326,SOUTH,South Atlantic,DC,Mixed-Humid,16957.86,592.2
100327,SOUTH,West South Central,TX,Hot-Dry,72936.52,1716.35
100328,WEST,Pacific,OR,Cold,49908.5,1632.08
100329,WEST,Pacific,WA,Marine,108063.04,1753.34
100330,MIDWEST,East North Central,IN,Mixed-Humid,115202.66,2520.91
100331,SOUTH,South Atlantic,FL,Hot-Humid,49684.47,1501.13
100332,SOUTH,South Atlantic,FL,Hot-Humid,64938.35,1974.19
100333,MIDWEST,West North Central,KS,Mixed-Humid,109832.46,2180.3
100334,NORTHEAST,Middle Atlantic,NY,Cold,117403.91,3352.66
100335,NORTHEAST,New England,MA,Cold,20713.8,776.31
100336,SOUTH,East South Central,KY,Mixed-Humid,46002.54,1237.32
100337,NORTHEAST,New England,CT,Cold,11396.13,800.46
100338,SOUTH,East South Central,KY,Mixed-Humid,161361.26,3445.56
100339,WEST,Mountain South,AZ,Hot-Dry,35910.71,1398.66
100340,NORTHEAST,New England,MA,Cold,18971.51,959.55
100341,MIDWEST,West North Central,IA,Cold,204698.49,2178.1
100342,WEST,Mountain North,CO,Cold,134619.17,578.93
100343,SOUTH,South Atlantic,WV,Mixed-Humid,60281.53,1859.71
100344,SOUTH,West South Central,TX,Hot-Humid,11750.63,469.03
100345,WEST,Pacific,CA,Marine,16801.68,576.68
100346,WEST,Pacific,WA,Marine,71887.29,1899.03
100347,NORTHEAST,New England,MA,Cold,62885.46,1600.37
100348,WEST,Pacific,CA,Hot-Dry,28393.41,1317.01
100349,SOUTH,South Atlantic,MD,Mixed-Humid,29982.13,1057.78
100350,NORTHEAST,New England,NH,Cold,122063.35,3774.21
100351,NORTHEAST,New England,MA,Cold,22923.36,860.6
100352,SOUTH,South Atlantic,FL,Hot-Humid,20409.03,663.64
100353,MIDWEST,East North Central,OH,Cold,107043.15,2035.15
100354,NORTHEAST,Middle Atlantic,NJ,Cold,144592.34,2662.94
100355,WEST,Mountain South,AZ,Hot-Dry,42220.47,1371.85
100356,SOUTH,East South Central,MS,Hot-Humid,139339.11,3078.66
100357,SOUTH,South Atlantic,FL,Hot-Humid,56339.3,1887.29
100358,SOUTH,East South Central,MS,Mixed-Humid,52565.64,1590.97
100359,SOUTH,West South Central,LA,Hot-Humid,21092.22,648.45
100360,NORTHEAST,New England,NH,Cold,47582.24,1507.99
100361,SOUTH,South Atlantic,GA,Mixed-Humid,68908.31,2292.74
100362,NORTHEAST,Middle Atlantic,PA,Cold,20950.6,1037.71
100363,WEST,Pacific,CA,Marine,43082.88,1002.56
100364,WEST,Mountain North,CO,Cold,16093.96,670.32
100365,WEST,Mountain North,UT,Cold,191747.75,2605.1
100366,MIDWEST,West North Central,NE,Cold,134217.25,2233.45
100367,MIDWEST,East North Central,WI,Cold,134339.8,2115.05
100368,WEST,Mountain North,WY,Cold,118238.31,1300.88
100369,WEST,Pacific,AK,Subarctic,58260.8,2935.41
100370,SOUTH,East South Central,AL,Hot-Humid,24468.69,1207.7
100371,WEST,Pacific,CA,Hot-Dry,66938.08,1953.48
100372,WEST,Mountain North,UT,Cold,16777.11,516.16
100373,MIDWEST,East North Central,OH,Cold,216265.47,3205.21
100374,WEST,Pacific,CA,Hot-Dry,72714.69,2382.22
100375,WEST,Mountain North,CO,Cold,35123.48,1126.78
100376,WEST,Mountain South,AZ,Hot-Dry,71819.02,2457.78
100377,MIDWEST,West North Central,KS,Mixed-Humid,26933.19,1135.22
100378,WEST,Mountain South,NM,Cold,67834.94,1054.83
100379,MIDWEST,East North Central,OH,Cold,75998.73,1777.91
100380,NORTHEAST,New England,NH,Cold,114439.98,3703.95
100381,MIDWEST,West North Central,NE,Cold,115475.75,2143.94
100382,NORTHEAST,Middle Atlantic,NJ,Cold,71942.69,3083.0
100383,MIDWEST,East North Central,IL,Cold,67523.77,1360.55
100384,SOUTH,South Atlantic,VA,Mixed-Humid,20931.24,823.87
100385,MIDWEST,East North Central,IL,Cold,122269.18,1115.56
100386,WEST,Mountain South,AZ,Hot-Dry,65402.13,2070.28
100387,NORTHEAST,New England,CT,Cold,114885.99,2255.97
100388,WEST,Mountain South,NM,Mixed-Dry,55283.6,1073.63
100389,WEST,Pacific,WA,Cold,62514.39,1103.39
100390,SOUTH,South Atlantic,NC,Mixed-Humid,81016.35,1585.63
100391,SOUTH,South Atlantic,MD,Mixed-Humid,89783.05,2238.13
100392,SOUTH,West South Central,TX,Hot-Humid,35760.25,1195.54
100393,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,55702.07,1939.22
100394,NORTHEAST,New England,VT,Cold,97015.5,2069.84
100395,MIDWEST,West North Central,IA,Cold,131823.68,2224.22
100396,NORTHEAST,Middle Atlantic,NY,Cold,37929.09,973.61
100397,MIDWEST,West North Central,MO,Cold,145826.11,2615.14
100398,SOUTH,East South Central,KY,Mixed-Humid,22283.41,631.44
100399,NORTHEAST,New England,NH,Cold,148514.83,5230.26
100400,MIDWEST,East North Central,OH,Cold,108472.17,2026.89
100401,WEST,Pacific,CA,Hot-Dry,57387.81,1851.72
100402,WEST,Pacific,WA,Marine,41550.83,1359.56
100403,NORTHEAST,New England,VT,Cold,56081.52,3063.09
100404,SOUTH,West South Central,OK,Mixed-Humid,83146.44,2332.27
100405,SOUTH,South Atlantic,SC,Mixed-Humid,53327.32,1765.46
100406,MIDWEST,West North Central,SD,Cold,121013.79,2715.12
100407,SOUTH,South Atlantic,NC,Mixed-Humid,87490.78,2221.96
100408,NORTHEAST,New England,NH,Cold,116929.87,3916.61
100409,NORTHEAST,New England,MA,Cold,47929.11,1489.73
100410,NORTHEAST,Middle Atlantic,NY,Mixed-Humid,11449.51,833.94
100411,MIDWEST,East North Central,IN,Cold,83977.74,1914.55
